match_id,team,line_up,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
42,Ma rốc,4-3-3,1,2,5,6,3,8,4,11,7,19,17
43,Croatia,4-3-3,1,22,6,20,19,10,11,8,9,14,4
43,ĐT Bỉ,3-4-2-1,1,19,2,5,15,7,6,21,17,11,14
44,Costa Rica,3-4-2-1,1,6,19,3,4,5,17,8,20,12,11
44,ĐT Đức,4-2-3-1,1,6,15,2,3,21,8,10,14,19,13
45,Nhật Bản,3-4-3,12,4,22,3,14,13,17,5,15,25,11
45,ĐT Tây Ban Nha,4-3-3,23,2,16,4,14,9,5,26,12,7,21
46,Ghana,4-2-3-1,1,26,18,4,17,5,21,19,10,9,20
46,Uruguay,4-4-2,23,13,2,19,16,8,15,6,10,9,11
47,Hàn Quốc,4-3-3,1,15,20,19,3,6,5,18,10,9,7
47,ĐT Bồ Đào Nha,4-3-3,22,2,3,24,20,23,18,16,21,7,17
48,Cameroon,4-2-3-1,16,19,4,24,25,15,8,20,13,6,10
48,Brazil,4-2-3-1,23,13,14,24,16,15,8,19,21,26,18
49,Serbia,3-4-1-2,23,4,5,2,14,20,16,17,10,18,9
49,Thụy Sĩ,4-2-3-1,21,3,5,22,13,8,10,23,15,17,7
50,Hà Lan,3-4-1-2,23,2,4,5,22,15,21,17,14,8,10
50,Mỹ,4-3-3,1,2,3,13,5,8,4,6,21,9,10
51,Argentina,4-3-3,23,26,13,19,8,7,24,20,9,10,17
51,Australia,4-4-2,1,2,19,4,16,7,13,22,26,14,15
52,Pháp,4-2-3-1,1,5,4,18,22,8,14,11,7,10,9
52,Ba Lan,4-1-4-1,1,2,15,14,18,10,13,20,19,24,9
53,ĐT Anh,4-3-3,1,2,5,6,3,8,4,22,17,9,20
53,Senegal,4-2-3-1,16,21,3,22,14,11,6,15,13,18,9
54,Nhật Bản,3-4-3,12,16,22,3,14,6,13,5,8,25,15
54,Croatia,4-3-3,1,22,6,20,3,10,11,8,9,16,4
55,Brazil,4-2-3-1,1,2,4,3,14,5,7,11,10,20,9
55,Hàn Quốc,4-4-2,1,15,4,19,3,10,5,6,11,9,7
56,Ma rốc,4-3-3,1,2,5,6,3,8,4,15,7,19,17
56,Tây Ban Nha,4-3-3,23,6,16,24,18,9,5,26,11,10,21
57,Bồ Đào Nha,4-3-3,22,2,3,4,5,25,14,10,8,26,11
57,Thụy Sĩ,4-2-3-1,1,2,5,22,13,8,10,23,15,17,7
58,Croatia,4-4-2,1,2,24,20,4,7,8,10,18,9,14
58,Ma rốc,4-3-3,1,2,18,20,25,23,4,11,7,19,17
59,Croatia,4-3-3,1,22,6,20,19,10,11,8,15,9,4
59,Brazil,4-2-3-1,1,14,4,3,2,7,5,11,10,20,9
60,Hà Lan,3-4-1-2,23,2,4,5,22,15,21,17,8,10,7
60,Argentina,5-3-2,23,26,13,19,25,8,7,24,20,10,9
61,Ma rốc,4-3-3,1,2,18,6,25,8,4,15,7,19,17
61,Bồ Đào Nha,4-3-3,22,2,3,4,5,10,18,25,8,26,11
62,Anh,4-3-3,1,2,5,6,3,8,4,22,17,9,20
62,Pháp,4-2-3-1,1,5,4,18,22,8,14,11,7,10,9
63,Argentina,4-3-1-2,23,26,13,19,3,24,5,20,7,10,9
63,Croatia,4-3-3,1,22,6,20,19,10,11,8,15,9,4
64,Pháp,4-2-3-1,1,5,4,24,22,8,13,11,7,10,9
64,Ma rốc,5-4-1,1,2,18,20,6,3,7,8,4,17,19
